title,apple_title,price,apple_price,rating,apple_ratings,apple_reviews,description,discount
"Apple iPhone 15 Pro Max (Natural Titanium, 1 TB)",Apple iPhone 15 Pro Max ,"₹1,40,999","1,40,999","1,841 Ratings & 111 Reviews","1,841 ",�111 ,"1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",19% off
"Apple iPhone 15 Pro Max (White Titanium, 1 TB)",Apple iPhone 15 Pro Max ,"₹1,40,999","1,40,999","1,841 Ratings & 111 Reviews","1,841 ",�111 ,"1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",19% off
"Apple iPhone 15 Plus (Yellow, 256 GB)",Apple iPhone 15 Plus ,"₹75,999","75,999","25,237 Ratings & 1,307 Reviews","25,237 ","�1,307 ","256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",15% off
"Apple iPhone 16 Plus (White, 256 GB)",Apple iPhone 16 Plus ,"₹99,900","99,900",272 Ratings & 23 Reviews,272 ,�23 ,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 16 Pro (Desert Titanium, 128 GB)",Apple iPhone 16 Pro ,"₹1,19,900","1,19,900",175 Ratings & 7 Reviews,175 ,�7 ,"128 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 16 (Black, 256 GB)",Apple iPhone 16 ,"₹89,900","89,900","1,132 Ratings & 29 Reviews","1,132 ",�29 ,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 16 (Ultramarine, 256 GB)",Apple iPhone 16 ,"₹89,900","89,900","1,132 Ratings & 29 Reviews","1,132 ",�29 ,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)",Apple iPhone 16 Pro Max ,"₹1,44,900","1,44,900",128 Ratings & 6 Reviews,128 ,�6 ,"256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 16 (Teal, 256 GB)",Apple iPhone 16 ,"₹89,900","89,900","1,132 Ratings & 29 Reviews","1,132 ",�29 ,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 15 (Green, 256 GB)",Apple iPhone 15 ,"₹67,999","67,999","1,61,542 Ratings & 5,245 Reviews","1,61,542 ","�5,245 ","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",14% off
