title,price,geyser_price,rating,geyser_rating,geyser_reviews,description,discount
"Racold 10 L Storage Water Geyser (CDR Dlx Horizontal (Free Standard Installation and Pipes ), White)","₹8,090","8,090",32 Ratings & 0 Reviews,32,�0 ,Storage Geyser10 L5 YEARS INNER TANK  || 2 YEARS ELEMENT || 2 YEARS PRODUCT,28% off
"V-Guard 6 L Storage Water Geyser (SIETA PLUS 6 LT, White)","₹7,100","7,100",N/A,#VALUE!,#VALUE!,Storage Geyser6 LReplacement warranty 7 years for inner tank & 3 years for heating element,31% off
"BAJAJ 10 L Storage Water Geyser (Shield Series Reflecta, Steel Finish PCM & Black)","₹6,399","6,399",N/A,#VALUE!,#VALUE!,"Storage Geyser10 L10 years warranty on tank, 6 years warranty on element and 4 years warranty on product",53% off
"HAVELLS 25 L Storage Water Geyser with Flexi Pipe and Free Installation (Electric Geyser, White & Must...","₹8,449","8,449","14,080 Ratings & 1,352 Reviews","14,080","�1,352 ","Storage Geyser25 L2 Years Comprehensive Warranty on Product, 7 Years Warranty on Inner Container and 4 Years Warranty on Heating Element",38% off
"Crompton 10 L Storage Water Geyser (Classic 10 Ltr, White)","₹6,539","6,539","24,236 Ratings & 1,555 Reviews","24,236","�1,555 ",Storage Geyser10 L5 Years Domestic Warranty on Tank and 2 Years Domestic Warranty on the Product from the Date of Purchase,32% off
"Racold 20 L Storage Water Geyser (ANDRIS SLIM, White)","₹11,689","11,689",194 Ratings & 16 Reviews,194,�16 ,Storage Geyser20 L7 YEARS INNER TANK  || 3 YEARS HEATING ELEMENT || 2 YEARS PRODUCT,6% off
"Maxotech 3 L Instant Water Geyser (Mutant, White And Grey)","₹1,849","1,849",381 Ratings & 117 Reviews,381,�117 ,"Instant Geyser3 L5 Year Warranty On Inner Tank, 1 Year On Components",62% off
"HAVELLS 3 L Instant Water Geyser (RUSH PLUS, White, Blue)","₹3,419","3,419",15 Ratings & 2 Reviews,15,�2 ,"Instant Geyser3 L7 Years Warranty on Inner Container, 4 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",38% off
"BAJAJ 25 L Storage Water Geyser (Maestro, White & Beige)","₹10,099","10,099",10 Ratings & 0 Reviews,10,�0 ,"Storage Geyser25 L2 years on product and 10 years on inner tank, 3 years om Element",37% off
"Crompton 25 L Storage Water Geyser (Solarium CLX 25 Ltr Glasslined With Free Installation & Pipes, Whi...","₹8,699","8,699","1,962 Ratings & 160 Reviews","1,962",�160 ,"Storage Geyser25 LTank: 5 years, Heating Element: 2 years, Product: 2 years",37% off
"Candes 10 L Instant Water Geyser (InstoPlus, White)","₹4,149","4,149",54 Ratings & 7 Reviews,54,�7 ,"Instant Geyser10 L1 Year Warranty on Components & 4 Years Warranty on Inner Container  including On-Site & Off-Site, Domestic & International Warranty",34% off
"Polycab 10 L Storage Water Geyser (Elanza DLX Water Heater, White Peach)","₹5,499","5,499",N/A,#VALUE!,#VALUE!,Storage Geyser10 L2 Year Company Warranty,42% off
