title,price,wm_price,rating,wm_ratings,wm_reviews,description,discount
"Haier 6.5 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White","₹27,900","27,900",N/A,#VALUE!,#VALUE!,1000 RPM Max Speed5 Star RatingWith In-Built Heater5 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor,36% off
Lloyd by Havells 7.5 kg Semi Automatic Top Load Washing Machine Maroon,"₹13,490","13,490",8 Ratings & 0 Reviews,8,�0 ,600 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd,19% off
Lloyd by Havells 7.5 kg Semi Automatic Top Load Washing Machine Grey,"₹12,999","12,999",9 Ratings & 2 Reviews,9,�2 ,"1300 rpm Max Speed5 Star Rating2 Years Warranty on Product, 5 Years Warranty on Motor",27% off
Haier 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Blue,"₹33,999","33,999",N/A,#VALUE!,#VALUE!,1200 rpm Max Speed5 Star RatingWith In-Built Heater1 Year Warranty on Product and 12 Years Warranty on Motor,37% off
Godrej 7 kg Fully Automatic Top Load Washing Machine Brown,"₹20,436","20,436",N/A,#VALUE!,#VALUE!,1200 RPM Max Speed5 Star Rating10 Year Warranty on Motor and 2 year Warranty on Entire Washing Machine,31% off
Lloyd by Havells 8.5 kg Semi Automatic Top Load Washing Machine Beige,"₹15,499","15,499",10 Ratings & 3 Reviews,10,�3 ,"1300 rpm Max Speed5 Star Rating2 Years Warranty on Product, 5 Years Warranty on Motor",24% off
"Whirlpool 6.5 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Body Semi Automatic Top L...","₹9,090","9,090","18,858 Ratings & 1,340 Reviews","18,858","�1,340 ",1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor,28% off
"SAMSUNG 9 kg Semi Automatic Top Load Washing Machine Black, Grey","₹22,999","22,999",29 Ratings & 1 Reviews,29,�1 ,"1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",N/A
Godrej 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Red,"₹21,898","21,898",159 Ratings & 19 Reviews,159,�19 ,700 rpm Max SpeedWith In-Built Heater2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Godrej,16% off
Godrej 7.5 kg Fully Automatic Top Load Washing Machine Grey,"₹19,369","19,369",N/A,#VALUE!,#VALUE!,0 RPM Max Speed5 Star Rating1 Year on Product and 10 Years on Motor,32% off
Lloyd by Havells 6.5 kg Fully Automatic Top Load Washing Machine Grey,"₹15,895","15,895",3 Ratings & 1 Reviews,3,�1 ,0 RPM Max Speed5 Star Rating2 Years Warranty,24% off
"SAMSUNG 7.5 Kg Semi Automatic Top Load Washing Machine Black, Grey","₹14,990","14,990",13 Ratings & 1 Reviews,13,�1 ,"1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",5% off
Kelvinator 8 kg Semi Automatic Top Load Washing Machine Blue,"₹12,990","12,990",N/A,#VALUE!,#VALUE!,1450 RPM Max Speed5 Star Rating1 Years Warranty on Product,27% off
Lloyd by Havells 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"₹35,990","35,990",N/A,#VALUE!,#VALUE!,1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product,40% off
"Electrolux 8.5 kg Smart Sensors, Colour Care,Venting Dryer with Reverse Tumbling, White,UltimateCare 3...","₹70,990","70,990",N/A,#VALUE!,#VALUE!,1200 rpm Max Speed2 Years Standard Warranty on Product and 10 Years Warranty on Inverter Motor,N/A
BOSCH 6.5 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"₹31,967","31,967",N/A,#VALUE!,#VALUE!,1000 RPM Max SpeedWith In-Built Heater2 Years Warranty on Product and 10 Years on Motor,28% off
Whirlpool 10.5 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"₹45,490","45,490",N/A,#VALUE!,#VALUE!,1400 RPM Max Speed5 Star RatingWith In-Built Heater3 Years Comprehensive Warranty,38% off
"ONIDA 7 kg 5 Star With Five-Fin Storm Pulsator Semi Automatic Top Load Washing Machine Black, Grey","₹7,690","7,690",640 Ratings & 37 Reviews,640,�37 ,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor from Onida,38% off
Lloyd 6.5 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine Grey,"₹16,990","16,990",N/A,#VALUE!,#VALUE!,700 RPM Max Speed5 Star Rating2 years warrantyt,10% off
Lloyd by Havells 7 kg Fully Automatic Top Load Washing Machine Grey,"₹18,265","18,265",N/A,#VALUE!,#VALUE!,700 RPM Max Speed5 Star Rating2 Years On Product and 10 Years on Motor,29% off
Haier 7 kg Fully Automatic Top Load Washing Machine Grey,"₹16,436","16,436",3 Ratings & 0 Reviews,3,�0 ,800 RPM Max Speed2 years warranty on product and 10 years on motor from Haier,23% off
"IFB 6.5 kg Fully Automatic Top Load Washing Machine Black, Grey","₹21,900","21,900",N/A,#VALUE!,#VALUE!,"720 RPM Max Speed5 Star Rating4 Years Super Warranty, 10 Years Spare Parts Support, 10 Years Motor Warranty",17% off
Haier 8 kg Fully Automatic Front Load Washing Machine Silver,"₹32,990","32,990",N/A,#VALUE!,#VALUE!,1200 RPM Max Speed1 Years Warranty on Product and 12 Years on Motor,39% off
