air conditioner,,,,,,,
title,price,ac_price,rating,ac_rating,ac_reviews,description,discount
ONIDA 2 Ton 3 Star Split Inverter AC  - White,"₹37,990","37,990","7,058 Ratings & 808 Reviews","7,058 ",�808 ,Annual Power Usage: 1231.9 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,47% off
MarQ by Flipkart 1.5 Ton 5 Star Window Inverter AC  - White,"₹28,899","28,899",179 Ratings & 24 Reviews,179 ,�24 ,"Annual Power Usage: 1095.38 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 1 Year Warranty on Wet Cleaning Services and 10 Years Warranty on Compressor",42% off
"Haier Frost Self-Clean 2023 Model 1.5 Ton 5 Star Split Inverter Intelli Convertible 7-in-1, Cooling at...","₹40,990","40,990","1,538 Ratings & 185 Reviews","1,538 ",�185 ,Annual Power Usage: 743.05 kWhRoom Size: 111 - 150 sqft5 Years Comprehensive Warranty and 12 Years Compressor Warranty,42% off
CARRIER 1.5 Ton 3 Star Split Air Filtration with High Density Filter AC  - White,"₹62,190","62,190","1,336 Ratings & 157 Reviews","1,336 ",�157 ,Annual Power Usage: 1118.58 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years on Compressor,N/A
Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC ...,"₹30,490","30,490","6,681 Ratings & 588 Reviews","6,681 ",�588 ,Annual Power Usage: 963.21 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,50% off
Blue Star 2023 Model 1.5 Ton 5 Star Window Inverter AC  - White,"₹38,379","38,379",111 Ratings & 13 Reviews,111 ,�13 ,Annual Power Usage: 1082.57 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,31% off
"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 5 Star Split Dual Inverter Viraat Mode, Super Silent...","₹39,790","39,790","40,211 Ratings & 3,623 Reviews","40,211 ","�3,623 ","Annual Power Usage: 521.2 WRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB, and 10 Years Warranty on Compressor",47% off
Hitachi 1.5 Ton 3 Star Window AC  - White,"₹29,890","29,890","4,457 Ratings & 458 Reviews","4,457 ",�458 ,Annual Power Usage: 1277.65 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and  5 Years Warranty on Compressor,N/A
Voltas 1.5 Ton 5 Star Window Inverter AC  - White,"₹34,999","34,999",792 Ratings & 57 Reviews,792 ,�57 ,Annual Power Usage: 1114.62 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,28% off
Lloyd 1.25 Ton 3 Star Split Inverter AC  - White,"₹34,994","34,994",777 Ratings & 88 Reviews,777 ,�88 ,Annual Power Usage: 1700 kWh1 Year Comprehensive Warranty on AC and 10 Years on Compressor,33% off
